session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Employment Status,Fluent languages,Nationality,First Language,Country of Birth,Student Status,Current Country of Residence
5e24d73da52a83000acd7c5a,5c64c8ce608a000001fbb3d9,APPROVED,2020-01-19 22:25:03.813000,2020-01-19 22:40:11.798000,907.985,19,152,0,100,2020-01-20 00:31:05.024000,8B0BCA0C,Female,Other,English,United States,English,United States,Yes,United States
5e24d7aa8ab7d17581804a3f,5aeaaf80db3a060001f3d0f3,RETURNED,2020-01-19 22:37:00.053000,,67842.717362,22,190,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e24d851d5358575a6ff78f0,5c48f5433f133d0001ae8b1a,APPROVED,2020-01-19 22:29:44.173000,2020-01-19 22:54:49.731000,1505.558,23,118,0,100,2020-01-20 00:31:07.583000,8B0BCA0C,Female,Part-Time,"English, French",United States,English,United States,No,United States
5e24d8b1d727e9743bb5467e,5c2a2f5e10677f0001dc449f,APPROVED,2020-01-19 22:31:16.511000,2020-01-19 22:58:10.067000,1613.556,19,261,0,100,2020-01-20 00:31:08.183000,8B0BCA0C,Female,Part-Time,English,United States,English,United States,Yes,United States
5e24d8cf0ffbb475885c86ca,5d8b32e664ac880018630273,RETURNED,2020-01-19 22:41:43.103000,,67559.713887,26,126,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e24d8da93a689753bc8f3e4,5b3b5d6cac7a460001f90b33,RETURNED,2020-01-19 22:31:57.055000,,68145.761972,34,242,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e24d8e7e3c71974ebeee326,5c43fb651ddd660001c9de3a,APPROVED,2020-01-19 22:32:11.242000,2020-01-19 22:52:42.429000,1231.187,23,299,0,100,2020-01-20 00:31:09.474000,8B0BCA0C,Female,Full-Time,English,United States,English,United States,No,United States
5e24d8e8b5625875650b026c,5c8001e80fa63e000163058c,APPROVED,2020-01-19 22:32:10.799000,2020-01-19 22:49:15.775000,1024.976,23,315,1,100,2020-01-20 00:31:10.074000,8B0BCA0C,Male,Unemployed (and job seeking),English,United States,English,United States,No,United States
5e24d911ccaaaf7565210dde,5b20c5e04c72120001f25dda,REJECTED,2020-01-19 22:32:54.676000,2020-01-19 22:33:39.435000,44.759,32,244,1,100,2020-01-19 22:34:09.171000,NOCODE,Male,Unemployed (and job seeking),Spanish,United States,English,United States,Yes,United States
5e24d91226d974765f8dc1d8,5b941bae1049ea00010387c0,APPROVED,2020-01-19 22:32:57.205000,2020-01-19 23:06:19.736000,2002.531,25,102,0,100,2020-01-20 00:31:10.944000,8B0BCA0C,Male,Full-Time,English,United States,English,United States,Yes,United States
5e24d94e52e7a6754591ae50,5c7a94dc8fbcb100146b6dc7,APPROVED,2020-01-19 22:33:54.035000,2020-01-19 23:03:01.338000,1747.303,31,152,1,100,2020-01-20 00:31:11.461000,8B0BCA0C,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Tagalog-Filipino,Philippines,No,United States
5e24d9621929597581d93b0a,5730ab97dd6617000fdaa615,APPROVED,2020-01-19 22:34:14.416000,2020-01-19 22:56:30.720000,1336.304,32,678,0,100,2020-01-20 00:31:12.038000,8B0BCA0C,Male,Unemployed (and job seeking),English,United States,English,United States,No,United States
5e24d96e7a9ded76c59ec9e7,5c638b779e01830001f7127e,APPROVED,2020-01-19 22:34:26.217000,2020-01-19 23:09:24.830000,2098.613,33,158,1,100,2020-01-20 00:31:12.927000,8B0BCA0C,Male,Full-Time,English,United States,English,United States,No,United States
5e24da305f397675581a7129,5ca36183facfcc0001fc88de,APPROVED,2020-01-19 22:37:36.965000,2020-01-19 22:48:06.339000,629.374,28,159,0,100,2020-01-20 00:31:13.628000,8B0BCA0C,Male,Full-Time,French,Canada,French,Canada,Yes,Canada
5e24f53209f08f76f5f5f8e2,5c7078b6ac711b00010846a9,APPROVED,2020-01-20 00:32:56.314000,2020-01-20 00:46:00.077000,783.763,20,357,0,100,2020-01-20 02:35:25.832000,8B0BCA0C,Female,Unemployed (and job seeking),English,United States,English,United States,Yes,United States
5e24f5375514e676eef040f3,5d53bffa147a7d00015aae5a,TIMED-OUT,2020-01-20 00:33:08.557000,,60874.475434,27,196,3,99,,,Female,Unemployed (and job seeking),English,United States,English,United States,Yes,United States
5e24f54325a4d0774f768c62,5c995ce774c556001643fae6,RETURNED,2020-01-20 00:33:12.827000,,60870.228677,20,326,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e24f5657d246277c3edf996,5c483549929090000168686d,APPROVED,2020-01-20 00:34:16.589000,2020-01-20 00:47:35.021000,798.432,32,493,1,100,2020-01-20 02:35:27.359000,8B0BCA0C,Male,Full-Time,English,United States,English,United States,No,United States
5e25062ff4dbbd78262f91a4,55894f58fdf99b5ccca3c2f7,APPROVED,2020-01-20 01:51:04.199000,2020-01-20 02:19:01.354000,1677.155,27,1192,3,100,2020-01-20 02:35:28.257000,8B0BCA0C,Male,Other,English,United States,English,United States,DATA EXPIRED,United States
5e2511ec75dd63786579620e,5ad7c794c25ea000018848d1,RETURNED,2020-01-20 02:35:28.570000,,53534.546139,30,594,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e25126859521777c1f59cd4,5d3f60334cca8f0017b5bec1,APPROVED,2020-01-20 02:37:35.504000,2020-01-20 03:12:18.451000,2082.947,25,238,0,100,2020-01-20 03:14:47.742000,8B0BCA0C,Male,Other,"Arabic, Urdu, English",United States,English,United States,Yes,United States
